uuid,title,content,spanish_title,spanish_content,english_page,spanish_page
5da9ab8d-c494-467b-ae8d-c253c56ede2e,A Prayer for Mission,"Keep watch, dear Lord, with those who work, or watch, or weep this night...",Colecta por la Misión (Oficio Diario),"Vela, querido Señor, con los que trabajan, o velan o lloran esta noche, y da a tus ángeles a cargo de los que duermen...",51,51
0bf88862-2e2b-43cc-8fc8-01a1c367b151,At a Burial of a Veteran of the Armed Forces.,"O Ruler of the universe, Lord God, by the strength of your own arm you have won for us final victory...",Por un veterano (Sepelio),"Oh Señor del universo, Señor Dios, con la fuerza de tu propio brazo nos has ganado la victoria final sobre el poder del pecado y la muerte...",265,265
008705fc-fc9f-420d-9357-20d4fa1d4ccd,Prayer for the Great Plague of 1665,"O Most gracious God, Father of mercies and of our Lord Jesus Christ, look down upon us...",[Text Not in Provided Spanish PDF],[Text Not in Provided Spanish PDF],N/A,N/A
16466083-c50e-4a3d-92f3-f6c043aa0eee,Confession of Sin (Holy Eucharist: Standard Anglican),"Almighty God, Father of our Lord Jesus Christ, maker and judge of us all: We acknowledge and lament our many sins...",Confesión de Pecado (Eucaristía),"Dios Todopoderoso, Padre de nuestro Señor Jesucristo, Creador y juez de todos nosotros: Confesamos y lamentamos nuestros muchos pecados y ofensas...",112,112
0a1fa91f-f20e-44f5-8843-33ec850f4b91,At a Burial,"O God, whose days are without end, and whose mercies cannot be numbered: Make us, we pray, deeply aware of the shortness...",Oraciones Adicionales (Sepelio),"Oh Dios, cuyos días son sin fin, y cuyas misericordias no pueden contarse: Haznos, te rogamos, profundamente conscientes de la brevedad e incertidumbre de la vida humana...",265,265
488ee4f8-ca08-4388-a6d1-dda433b76c40,For the Dead,Grant us grace to entrust N. to your never-failing love; receive him into the arms of your mercy...,Sepultura (Oración de los Fieles),Concédenos la gracia de confiar a N. a tu amor inagotable; recíbelo en los brazos de tu misericordia y acuérdate de él conforme al favor que muestras a todo tu pueblo.,254,254
b33ff2f5-810a-4312-8076-1de2fe1e41d3,A Prayer for Mission,"Almighty and everlasting God, who alone works great marvels: Send down upon our clergy...",Colecta por la Misión (Oficio Diario),"Dios poderoso y eterno, el único que obra grandes maravillas: Envía sobre nuestro clero y las congregaciones encomendadas a su cargo...",24,24
2ae705da-b9a9-4134-9b3f-b59a802cf4bc,Solemn Collect for Ourselves,"Let us pray for all those who do not believe in Christ... Merciful God, creator of all the peoples of the earth...",Colectas Solemnes (Viernes Santo),"Dios misericordioso, creador de todos los pueblos de la tierra y amante de las almas: Ten compasión de todos los que no te conocen...",570,570
2ed12599-b812-4e19-a294-b74bc8a139a4,"For Those Who Mourn, at the Burial","Most merciful God, whose wisdom is beyond our understanding: deal graciously with those who mourn...",Oraciones para un Velorio,"Dios misericordioso, cuya sabiduría está más allá de nuestro entendimiento: trata con gracia a los que lloran [especialmente a _____].",244,244
58a69802-a3a0-4a49-a8de-a3d650f56a82,Concluding Collect for the Prayers of the People...,we may behold the order and beauty of things heavenly; through Jesus Christ our Lord. Amen.,Consagración de un Lugar de Culto,...podamos admirar el orden y la belleza de las cosas celestiales; por Jesucristo Nuestro Señor. Amén.,535,535
97233885-c075-4757-916c-5593889f2d18,In Time of Great Sickness and Mortality,"O Most mighty and merciful God, in this time of grievous sickness, we flee to you for comfort.",[Text Not in Provided Spanish PDF],[Text Not in Provided Spanish PDF],N/A,N/A
607b4a7b-12bd-41b0-a88a-e7c9e2b53704,The Gathering of God's People,"Almighty God, you called your Church to bear witness that you were in Christ reconciling the world to yourself...",El Encuentro del Pueblo (Vigilia),"Dios Todopoderoso, llamaste a tu Iglesia a dar testimonio de que estabas en Cristo reconciliando el mundo hacia ti...",590,590
47dcfa01-a2e2-437f-9fb4-1e8c0dc28f42,Prayer for a Vigil,"O God, who by the glorious resurrection of your Son Jesus Christ destroyed death and brought life and immortality...",Oraciones para un Velorio,"Oh Dios, que por la gloriosa resurrección de tu Hijo Jesucristo destruyó la muerte y sacó a la luz la vida y la inmortalidad...",244,244
5865aba9-30ae-4579-8c0a-3ccceede0ca7,Blessing of the Font or Basin,"Almighty and everlasting Father, in your great mercy you saved Noah and his family in the Ark...",Consagración (La Fuente),"Padre todopoderoso y eterno, en tu gran misericordia salvaste a Noé y a su familia en el Arca de la destrucción del diluvio...",529,529
6baa4f66-f879-4ddf-ba94-e1770bdaf5b5,At the Litany of Penitence,"Show favor to your people, O Lord, who turn to you in weeping, fasting, and prayer.",Miércoles de Ceniza (Oración),"Muestra favor a tu pueblo, oh Señor, que se vuelve a ti con llanto, ayuno y oración.",549,549
a10ebc6b-6639-472a-b713-4b090913649a,God's Presence in a Renewed Israel,"O God, you led your ancient people by a pillar of cloud by day and a pillar of fire by night...",La Presencia de Dios (Vigilia),"Oh Dios, que guiaste a tu antiguo pueblo con una columna de nubes de día y una columna de fuego de noche...",588,588
8e9b0a00-b77f-43f4-ba26-3a4793cb82df,Prayer for the Whole State... for the Departed,We remember before you all your servants who have departed this life in your faith and fear...,Oración de los Fieles (Eucaristía),"Recordamos ante de Ti a todos tus siervos que han partido de esta vida en tu fe y temor, [especialmente _____,] para que se cumpla tu voluntad en ellos...",111,111
92a76e07-b214-4e8b-867a-50d28a2ea39d,The Ordination of Priests,"Almighty God and most merciful Father, of your infinite love and goodness you have given your only Son Jesus Christ...",Ordenación de un Sacerdote,"Dios Todopoderoso y Padre lleno de misericordia, por tu infinito amor y bondad has dado a tu único Hijo Jesucristo para que sea nuestro redentor...",493,493
9ae966bf-a2c1-4bd4-a708-03ca89e1fef9,Concluding Collect for the Dead,"Almighty God, grant us, with all who have died in the hope of the resurrection, the fullness of life...",Sepultura (Oración Conclusiva),"Dios Todopoderoso, concédenos, con todos los que han muerto en la esperanza de la resurrección, la plenitud de vida en tu gloria eterna...",255,255
ad5b1784-797a-49bc-9cf3-7ff79bda71d7,Before the Commendation,"Give rest, O Christ, to your servant with your saints, Where sorrow and pain are no more...",La Encomendación (Sepelio),"Da descanso, oh Cristo, a tu siervo con tus santos, Donde ya no hay dolor ni pena, ni gemidos, sino vida eterna.",256,256
b31ffc24-3302-472e-8cf1-f614336bf752,Solemn Collect against Hersey and Schism,"Let us pray for all who are in heresy or schism... O God of truth and love, who desires not the death of sinners...",Colectas Solemnes (Viernes Santo),"Oremos por todos los que están en herejía o cisma... Oh Dios de verdad y de amor, que no deseas la muerte de los pecadores...",569,569
ac25d75e-478b-4698-8937-b2ce8e708f24,Blessing of Water in the Font or Basin,"Now, Father, sanctify this water by the power of your Holy Spirit. May all who are baptized here...",Consagración (La Fuente),"Ahora, Padre, santifica esta agua por el poder de tu Espíritu Santo. Que todos los que aquí se bauticen sean limpiados del pecado...",529,529
b38d22b6-e9b8-4bfc-b8f5-d01fef6b7a6d,Prayer after Absolution,"O most loving Father, by your mercy you put away the sins of those who truly repent...",Reconciliación de Penitentes,"Oh muy amoroso Padre, por tu misericordia quitas los pecados de los que verdaderamente se arrepienten y no recuerdas más sus pecados.",224,224
cc3159c8-00eb-41a2-aea6-829b6d26236e,At a Burial,"O God, the King of saints, we praise and glorify your holy Name for all your servants who have finished their course...",Oraciones Adicionales (Sepelio),"Oh Dios, Rey de los santos, alabamos y glorificamos tu santo Nombre por todos tus siervos que han terminado su carrera en tu fe y temor...",263,263
dda6a4a1-0020-4994-9b84-d9a11db4db25,Solemn Collect for Our Bishops,"Let us pray for N. our Bishop... Almighty and everlasting God, whose judgment upholds all things...",Colectas Solemnes (Viernes Santo),"Oremos por N. nuestro Obispo... Dios todopoderoso y eterno, cuyo juicio sustenta todas las cosas, tanto en el cielo como en la tierra...",567,567
dde5fe4a-ae9e-4e31-9f9a-7e957879dd58,Confession of Sin (Holy Eucharist: Ancient Renewed),"Most merciful God, we confess that we have sinned against you in thought, word, and deed...",Confesión y Absolución (Texto Renovado),"Dios de gran misericordia, confesamos que hemos pecado contra ti en pensamiento, palabra y obra...",130,130
e8884539-22a6-43ae-ba3d-bdb00828749d,For the Institution of a Rector,"Most gracious Father, the Giver of all good and perfect gifts, in your wise providence you appoint leaders...",Institución de un Rector (Oración),"Padre misericordioso, Dador de todos los dones buenos y perfectos, en tu sabia providencia nombras líderes para la misión de tu Iglesia...",516,516
e137902d-8005-4f3f-8b79-9240517a1673,At a Burial,"Merciful God, Father of our Lord Jesus Christ, who is the resurrection and the life: Raise us...",Oraciones Adicionales (Sepelio),"Misericordioso Dios, Padre de nuestro Señor Jesucristo, que es la resurrección y la vida: Levántanos...",264,264
db12e9db-72ff-438b-9820-b75a82ceb753,For Those Who Mourn,"Almighty God, look with pity upon the sorrows of your servants for whom we pray...",Recepción del Cuerpo (Sepelio),"Dios Todopoderoso, mira con compasión los dolores de tus siervos por quienes oramos. Acuérdate de ellos, Señor, en misericordia...",247,247
e3bcccfc-effd-469e-9a18-9edca2cd9d12,At a Burial,"Grant, O Lord, to all who are bereaved the spirit of faith and courage, that they may have strength...",Oraciones Adicionales (Sepelio),"Concede, oh Señor, a todos los afligidos el espíritu de fe y fortaleza, para que tengan la fuerza para afrontar los días venideros...",264,264
e457e03d-29b7-46cc-bc90-088526a64bd1,Prayer for the Whole State... for the Clergy,"Give grace, heavenly Father, to all Bishops, Priests, and Deacons, and especially to your servant(s) N...",Oración de los Fieles (Eucaristía),"Dales gracia Padre celestial, a todos los Obispos, Sacerdotes y Diáconos, y especialmente a tus siervos N....",110,110
e6c0c626-5ae9-42e7-8b95-5b5664e3e7bf,A Prayer for Mission,"O God and Father of all, whom the whole heavens adore: Let the whole earth also worship you...",Colecta por la Misión (Oficio Diario),"Oh Dios y Padre de todos, a quien todos los cielos adoran: que toda la tierra te adore, todas las naciones te obedezcan...",51,51
eaa321c3-1abb-4fbe-857f-a5c309c1fbca,Concluding Collect at Ordinations,"Go before us, O Lord, in all our doings with your most gracious favor, and further us with your continual help...",Ordenación (Colecta Final),"Ve delante de nosotros, oh Señor, en todo lo que hacemos con tu más misericordioso favor, y ayúdanos continuamente...",482,482
e8ff97c5-8850-4e88-800a-721f6ca41025,Confession of Sin (Reconciliation of a Penitent),"I confess to Almighty God, to his Church, and to you, that I have sinned by my own fault...",Reconciliación de Penitentes,"Yo confieso ante Dios Todopoderoso, a su Iglesia y a usted, que he pecado por mi propia culpa...",223,223
f01b8c52-638b-4f63-8b56-de1e2458daf1,Opening Collect for the Consecration of a Place of Worship,"O Eternal God, mighty in power, of majesty incomprehensible, whom the heavens cannot contain...",Consagración de un Lugar de Culto,"Oh Eterno Dios, grandioso en poder, de majestad incomprensible, a quien los cielos no pueden contener...",525,525
f5675c11-d4b3-4ca3-9227-e511361a5653,The Post Communion Prayer (Anglican Standard),"Almighty and everliving God, we thank you for feeding us, in these holy mysteries...",Oración después de la Comunión,"Omnipotente y Eterno Dios, Te damos gracias porque nos has nutrido en estos santos misterios...",121,121
f9692a7c-b958-46a0-9a9c-dcbc7b48635f,Blessing and Consecration of the Holy Table,"Father, on the night that he was betrayed, your Son Jesus Christ instituted for us the banquet of our salvation...",Consagración (Santa Mesa),"Padre, en la noche en que fue entregado, tu Hijo Jesucristo instituyó para nosotros el banquete de nuestra salvación...",531,531
3732b57e-f6fc-4477-ac4b-7a0b60a00fca,Solemn Collect for Unbelievers,"Let us pray for all those who do not believe in Christ... Merciful God, creator of all the peoples...",Colectas Solemnes (Viernes Santo),"Oremos por todos aquellos que no creen en Cristo... Dios misericordioso, creador de todos los pueblos de la tierra y amante de las almas...",570,570
48117ce5-2377-41ad-a367-f568f491713c,For Blessing on a Marriage,"Most gracious God, we give you thanks for your tender love in sending Jesus Christ to come among us...",Santo Matrimonio (Bendición),"Dios misericordioso, te damos gracias por tu tierno amor al enviar a Jesucristo para que venga entre nosotros...",209,209
52d5fa34-95dc-477c-a10d-2491931dafa1,Solemn Collect for Our Leaders,"Let us pray for N. our President... Almighty God, whose kingdom is everlasting and whose power is infinite...",Colectas Solemnes (Viernes Santo),"Oremos por N. nuestro Presidente... Dios Todopoderoso, cuyo reino es eterno y cuyo poder es infinito...",568,568
f35b7f8c-5d66-42c3-a763-e7839926e483,Thanksgiving over Water,"We thank you, Almighty God, for the gift of water. Over it the Holy Spirit moved in the beginning...",Bautismo (Acción de Gracias),"Te damos gracias, Padre todopoderoso, por el don del agua. Sobre ella, el Espíritu Santo se movía en el principio...",168,168
f772f9fa-6b26-447b-bd0c-c9af8b990ed5,Prayer for Baptismal Candidates,"Almighty and everlasting Father, in your great mercy you saved Noah and his family in the Ark...",Bautismo (Oración por los Candidatos),"Padre Todopoderoso y Eterno, en tu gran misericordia salvaste de la destrucción del diluvio a Noé y a su familia en el arca...",167,167
4f04735b-aba9-433e-bbfe-c3e89e223894,For Those Who Mourn,"Grant to all who mourn a sure confidence in your fatherly care, that, casting their grief on you...",Oración de los Fieles (Sepultura),"Concede a todos los que lloran una confianza segura en tu cuidado paternal, para que, echando toda su ansiedad sobre Ti...",254,254
c28638e9-f047-4926-8b8d-62b65159ef69,The Post Communion Prayer (Renewed Ancient),"Heavenly Father, We thank you for feeding us with the spiritual food of the most precious Body and Blood...",Oración después de la Comunión,"Padre Celestial, te damos gracias porque nos has nutrido con el alimento espiritual del preciosísimo Cuerpo y Sangre...",137,137
048352c1-d0d6-423c-9104-040c83b1407d,At Compline,"O God, your unfailing providence sustains the world we live in and the life we live...",Completas (Oración),"Oh Dios, tu infalible providencia sostiene al mundo en que vivimos y la vida que vivimos...",64,64
fd02fb01-28c9-41ac-a332-ba5842c75c53,For Wisdom and Devotion in Marriage,Grant them wisdom and devotion in the ordering of their common life...,Santo Matrimonio (Oración),Concédeles sabiduría y devoción en la organización de su vida común...,208,208
04f39507-3063-4949-9ee0-d050ff85d967,At a Burial,Forasmuch as it has pleased Almighty God of his great mercy to take unto himself...,Sepultura (El Sepelio),Puesto que se le ha complacido a Dios Todopoderoso en su gran misericordia tomar para sí el alma...,261,261
08473d12-1547-4f46-8385-3677fa1ceaac,Prayer for a Vigil,"Most merciful God, whose wisdom is beyond our understanding: deal graciously...",Oraciones para un Velorio,"Dios misericordioso, cuya sabiduría está más allá de nuestro entendimiento: trata con gracia...",244,244
093afe3f-a545-4e7f-beba-a2c6a7607a72,For Witness in Marriage,May their union in Holy Matrimony be a sign of the love between Christ...,Santo Matrimonio (Oración),Que su unión en el Santo Matrimonio sea signo del amor entre Cristo y su Iglesia...,208,208
0a50bb34-f7b1-4a73-8715-42e3ff43daef,Thanksgiving for a Baptism,"Heavenly Father, we thank you that by water and the Holy Spirit you have bestowed...",Bautismo (Oración),"Padre celestial, te damos gracias porque por medio del agua y del Espíritu Santo has concedido a estos tus siervos...",169,169
0cdb2453-85e3-483c-8348-fb27ae5a04ec,During the Palm Procession,"Almighty God, whose most dear Son went not up to joy but first he suffered pain...",Domingo de Ramos (Procesión),"Dios todopoderoso, cuyo Hijo amadísimo no subió al gozo, sino que primero sufrió el dolor...",556,556
41eb7f7c-9b68-47a1-8b20-07a9526b01c0,At the Palm Procession,"We praise you, Almighty God, for the acts of love by which you have redeemed us...",Domingo de Ramos (Oración),"Nosotros te alabamos, Dios Todopoderoso, por las obras de amor con que nos has redimido...",556,556
18b57de3-7d18-4c1d-9d65-c3a95fba101c,At a Burial,"Almighty God, Father of mercies and giver of comfort: Deal graciously, we pray...",Sepultura (Recepción del Cuerpo),"Dios Todopoderoso, mira con compasión los dolores de tus siervos por quienes oramos. (Note: Adapted in Spanish text, matches 'Deal graciously')",264,264
185fe742-89c8-468c-9681-e118e3ea750f,For the Dead,"Grant that, increasing in knowledge and love of you, he may go from strength to strength...",Sepultura (Oración de los Fieles),"Concédele que, aumentando en conocimiento y amor por ti, pueda ir de fortaleza en fortaleza...",254,254
76a3e962-48fe-4ef3-a4f6-f267474bc30c,Requiem Aeternam,"Rest eternal grant to him, O Lord; and may his soul...",Sepultura (Cierre),"Que le concedas el descanso eterno, oh Señor; y que su alma...",263,263
1a1457ba-dd4e-456d-ad3e-e90a0af15855,Solemn Collect for the Jews,Let us pray for the Jewish people: that the Lord our God may look graciously upon them...,Colectas Solemnes (Viernes Santo),Oremos por el pueblo judío: para que el Señor nuestro Dios los mire con misericordia...,570,570
24f58708-74da-4629-8d87-963413f09e81,For the Renewal of Baptismal Vows,"Almighty God, you have built your Church upon the foundation of the Apostles and Prophets...",Renovación de Promesas Bautismales,"Dios Todopoderoso, que has edificado a tu Iglesia sobre el fundamento de los Apóstoles y Profetas...",196,196
2476df19-57f6-447a-93ee-08ccdbd0a4c9,At a Burial,"Father of all, we pray to you for those we love, but see no longer...",Oraciones Adicionales (Sepultura),"Padre de todos, te rogamos por los que amamos, pero ya no vemos...",264,264
2e001148-3f5b-4097-a0c0-d2fcda9c7513,Prayer for the Whole State of Christ's Church: for the Universal Church,"Almighty and everliving God, we are taught by your holy Word to offer prayers...",Oración de los Fieles (Eucaristía),"Dios todopoderoso y eterno, tu santa Palabra nos enseña a ofrecer oraciones y súplicas...",110,110
31262eff-7cda-46a4-b8e7-765b354ea964,Prayer for the Whole State of Christ's Church: for Those in Trouble...,"We ask you in your goodness, O Lord, to comfort and sustain all who in this transitory life...",Oración de los Fieles (Eucaristía),"Te pedimos en tu bondad, oh Señor, que consueles y sostengas a todos los que en esta vida transitoria...",111,111
39ea6ced-84ad-4e33-9b66-d4f69e525418,A Concluding Prayer for Good Friday,"Lord Jesus Christ, Son of the living God, we pray you to set your passion...",Viernes Santo (Oración Conclusiva),"Señor Jesucristo, Hijo del Dios vivo, te rogamos que pongas tu pasión, cruz y muerte entre tu juicio y nuestras almas...",577,577
3ed7973b-f263-406d-9101-fc5bcb929216,At Compline,"Be present, O merciful God, and protect us through the hours of this night...",Completas (Oración),"Está presente, oh Dios misericordioso, y protégenos durante las horas de esta noche...",63,63
4dba119e-f19c-45c2-ad18-603d3ff9fba7,For the Whole Church,"Let us pray for the holy Church throughout the world... Almighty Father, we pray for your holy catholic Church.",Colectas Solemnes (Viernes Santo),"Oremos por la santa Iglesia en todo el mundo... Padre Todopoderoso, oramos por tu santa Iglesia católica.",567,567
52055e46-dba6-4a3f-b7db-148661cdeebb,At the Reception of the Body,"O Sovereign Lord Christ, deliver your servant, N., from all evil...",Recepción del Cuerpo,"Oh Señor Soberano Cristo, libera a tu siervo N. de todo mal y líbralo de toda atadura...",247,247
569f0838-ebc1-4c25-9b91-77c12339813b,At the Palm Procession,"Assist us mercifully with your help, O Lord God of our salvation...",Domingo de Ramos,"Asístenos misericordiosamente con tu ayuda, oh Señor Dios de nuestra salvación...",555,555
595e21ae-64f2-45af-a6b7-ed106350d5ca,Post Communion Prayer at the Institution of a Rector,"Almighty Father, we thank you for feeding us with the holy food...",Institución de un Rector (Poscomunión),"Padre todopoderoso, te damos gracias por alimentarnos con el santo alimento del Cuerpo...",521,521
5b3cdbbf-070f-49c0-bbd0-b59054498874,For a Sick Person When There Is Little Hope of Recovery,"O Father of mercies and God of all comfort, our only help in time of need...",Por una persona enferma (Poca esperanza),"Oh Padre de misericordias y Dios de todo consuelo, nuestra única ayuda en tiempos de necesidad...",233,233
67d89a5d-8d86-49ae-b128-eac5e2b7d0d3,At Compline,"Look down, O Lord, from your heavenly throne, illumine this night...",Completas (Oración),"Mira hacia abajo, oh Señor, desde tu trono celestial, ilumina esta noche...",63,63
67f373c9-62e2-470d-9413-442f16eaf7a7,At a Cremation,In sure and certain hope of the resurrection... we commit his body to be consumed by fire...,La Cremación,Con esperanza cierta y segura de la resurrección... entregamos su cuerpo para ser consumido por el fuego...,266,266
6908bb89-4369-46cd-8285-e440a8e684a4,For the Newly Married and All Married Couples,Give them such grace that together they may reach out in love and concern...,Santo Matrimonio (Oración),Dales tanta gracia que juntos puedan tender la mano con amor y beneficio por los demás...,208,208
6ebe72c0-1402-4c68-9f90-a834650caca2,After a Burial,"Almighty God, with whom do live the spirits of those who depart in the Lord...",Sepultura (El Sepelio),"Dios Todopoderoso, con quien viven los espíritus de los que han muerto en el Señor...",262,262
78e42573-86f8-415a-9d43-f5849ea740be,For Growth in Love and Devotion in Marriage,Grant that their wills may be so knit together in your will...,Santo Matrimonio (Oración),Haz que sus voluntades estén tan entrelazadas en tu voluntad...,207,207
a081959f-e3c3-4772-97ff-b3b1a615f92b,Blessing of the Ashes,"Almighty God, you have created us from the dust of the earth...",Miércoles de Ceniza (Imposición),"Dios todopoderoso, nos has creado del polvo de la tierra: Haz que estas cenizas sean para nosotros un símbolo...",545,545
84b89030-7569-4097-9406-b2249597e44e,Prayer for the Whole State of Christ's Church: for Our Leaders,We pray that you will lead the nations of the world in the way of righteousness...,Oración de los Fieles (Eucaristía),Te imploramos que conduzcas a las naciones del mundo por el camino de la justicia...,110,110
819afee0-d725-472c-94f8-382343538110,Post-Communion Prayer at a Burial,"Almighty God, we thank you that in your great love you have fed us...",Sepultura (Poscomunión),"Dios Todopoderoso, te damos gracias porque en tu gran amor nos has alimentado...",255,255
85a824f9-d386-480e-ae45-6de43380633c,Solemn Collect for the Holy Church,[Fragment: f Amen],Colectas Solemnes (Viernes Santo),"Padre Todopoderoso, oramos por tu santa Iglesia católica. Llénala con toda verdad...",567,567
879c3de4-8322-495b-8910-aa5304bf5da3,For Courage and Reconciliation in Marriage,"Give them courage, when they hurt each other, to recognize and acknowledge...",Santo Matrimonio (Oración),"Dales valor, cuando se lastimen el uno al otro, para reconocer y examinar sus faltas...",208,208
8b88e1a9-c433-4fa7-9df8-630f27ac52ab,For Those Made One Flesh in Marriage,"Eternal God, creator and preserver of all life, author of salvation...",Santo Matrimonio (Oración),"Dios eterno, creador y preservador de toda vida, autor de salvación y dador de toda gracia...",207,207
894e7e33-7387-416c-b2c9-395ddef0b22b,At a Burial,"Lord Jesus Christ, by your death you took away the sting of death...",Oraciones Adicionales (Sepultura),"Señor Jesucristo, que con tu muerte quitaste el aguijón de la muerte...",264,264
a54a1dac-7d21-4ecb-aedc-f3ea3e2c74a0,For Belief and Trust,"Help us, we pray, in the midst of things we cannot understand...",Sepultura (Oración de los Fieles),"Te pedimos que nos ayudes en medio de cosas que no podemos entender, a creer y confiar...",254,254
