Month,Day,Text,HTML,Rank,Name,Title,Date/Year
January,1,The Holy Name of Our Lord Jesus Christ,<strong>The Holy Name of Our Lord Jesus Christ</strong>,Major,Holy Name,Feast,
January,4,Elizabeth Ann Seton, Vowed Religious and Educator, 1821,Elizabeth Ann Seton, <em>Vowed Religious and Educator</em>, 1821,Minor,Elizabeth Ann Seton,Vowed Religious and Educator,1821
January,19,Wulfstan of Worcester, Bishop, 1095,Wulfstan of Worcester, <em>Bishop</em>, 1095,Minor,Wulfstan of Worcester,Bishop,1095
January,20,Fabian, Bishop and Martyr, 250,Fabian, <em>Bishop and Martyr</em>, 250,Minor,Fabian,Bishop and Martyr,250
January,21,"Agnes and Cecilia of Rome, Martyrs, 304 and c. 230","Agnes and Cecilia of Rome, <em>Martyrs</em>, 304 and c. 230",Minor,"Agnes and Cecilia of Rome",Martyrs,"304, c. 230"
January,22,Vincent of Saragossa, Deacon and Martyr, 304,Vincent of Saragossa, <em>Deacon and Martyr</em>, 304,Minor,Vincent of Saragossa,Deacon and Martyr,304
January,23,Phillips Brooks, Bishop, 1893,Phillips Brooks, <em>Bishop</em>, 1893,Minor,Phillips Brooks,Bishop,1893
January,24,Florence Li Tim-Oi, Priest, 1992,Florence Li Tim-Oi, <em>Priest</em>, 1992,Minor,Florence Li Tim-Oi,Priest,1992
January,25,The Conversion of Saint Paul the Apostle,<strong>The Conversion of Saint Paul the Apostle</strong>,Major,Paul,Apostle,
January,26,Timothy and Titus, Companions of Saint Paul,Timothy and Titus, <em>Companions of Saint Paul</em>,Minor,Timothy and Titus,Companions of Saint Paul,
January,27,John Chrysostom, Bishop and Theologian, 407,John Chrysostom, <em>Bishop and Theologian</em>, 407,Minor,John Chrysostom,Bishop and Theologian,407
January,28,Thomas Aquinas, Friar and Theologian, 1274,Thomas Aquinas, <em>Friar and Theologian</em>, 1274,Minor,Thomas Aquinas,Friar and Theologian,1274
January,29,[Lili'uokalani of Hawai'i],<em>[Lili'uokalani of Hawai'i]</em>,Trial,Lili'uokalani,of Hawai'i,
January,31,Marcella of Rome, Monastic and Scholar, 410,Marcella of Rome, <em>Monastic and Scholar</em>, 410,Minor,Marcella of Rome,Monastic and Scholar,410
February,1,Brigid of Kildare, Monastic, c. 523,Brigid of Kildare, <em>Monastic</em>, c. 523,Minor,Brigid of Kildare,Monastic,c. 523
February,2,The Presentation of Our Lord Jesus Christ in the Temple,<strong>The Presentation of Our Lord Jesus Christ in the Temple</strong>,Major,Presentation,Feast,
February,3,Anskar, Bishop and Missionary, 865,Anskar, <em>Bishop and Missionary</em>, 865,Minor,Anskar,Bishop and Missionary,865
February,4,Manche Masemola, Martyr, 1928,Manche Masemola, <em>Martyr</em>, 1928,Minor,Manche Masemola,Martyr,1928
February,5,Agatha of Sicily, Martyr, c. 251,Agatha of Sicily, <em>Martyr</em>, c. 251,Minor,Agatha of Sicily,Martyr,c. 251
February,6,The Martyrs of Japan, 1597,The Martyrs of Japan, 1597,Minor,Martyrs of Japan,,1597
February,8,Bakhita (Josephine Margaret Bakhita), Monastic, 1947,Bakhita (Josephine Margaret Bakhita), <em>Monastic</em>, 1947,Minor,Bakhita (Josephine Margaret Bakhita),Monastic,1947
February,10,Scholastica, Monastic, 543,Scholastica, <em>Monastic</em>, 543,Minor,Scholastica,Monastic,543
February,11,"The Consecration of Barbara Clementine Harris, First Woman Bishop in the Anglican Communion, 1989","The Consecration of Barbara Clementine Harris, <em>First Woman Bishop in the Anglican Communion</em>, 1989",Minor,Barbara Clementine Harris,First Woman Bishop in the Anglican Communion,1989
February,12,Theodora, Empress, c. 867,Theodora, <em>Empress</em>, c. 867,Minor,Theodora,Empress,c. 867
February,13,Absalom Jones, Priest, 1818,Absalom Jones, <em>Priest</em>, 1818,Minor,Absalom Jones,Priest,1818
February,14,"Cyril and Methodius, Missionaries, 869 and 885","Cyril and Methodius, <em>Missionaries</em>, 869 and 885",Minor,"Cyril and Methodius",Missionaries,"869, 885"
February,15,Thomas Bray, Priest and Missionary, 1730,Thomas Bray, <em>Priest and Missionary</em>, 1730,Minor,Thomas Bray,Priest and Missionary,1730
February,17,Janani Luwum, Archbishop and Martyr, 1977,Janani Luwum, <em>Archbishop and Martyr</em>, 1977,Minor,Janani Luwum,Archbishop and Martyr,1977
February,18,Martin Luther, Pastor and Reformer, 1546,Martin Luther, <em>Pastor and Reformer</em>, 1546,Minor,Martin Luther,Pastor and Reformer,1546
February,19,"Agnes Tsao Kou Ying, Agatha Lin Zhao, and Lucy Yi Zhenmei, Catechists and Martyrs, 1856, 1858, and 1862","Agnes Tsao Kou Ying, Agatha Lin Zhao, and Lucy Yi Zhenmei, <em>Catechists and Martyrs</em>, 1856, 1858, and 1862",Minor,"Agnes Tsao Kou Ying, Agatha Lin Zhao, and Lucy Yi Zhenmei",Catechists and Martyrs,"1856, 1858, 1862"
February,20,Frederick Douglass, Social Reformer, 1895,Frederick Douglass, <em>Social Reformer</em>, 1895,Minor,Frederick Douglass,Social Reformer,1895
February,22,Margaret of Cortona, Monastic, 1297,Margaret of Cortona, <em>Monastic</em>, 1297,Minor,Margaret of Cortona,Monastic,1297
February,23,Polycarp of Smyrna, Bishop and Martyr, 156,Polycarp of Smyrna, <em>Bishop and Martyr</em>, 156,Minor,Polycarp of Smyrna,Bishop and Martyr,156
February,24,Saint Matthias the Apostle,<strong>Saint Matthias the Apostle</strong>,Major,Matthias,Apostle,
February,25,"Emily Malbone Morgan, Lay Leader and Contemplative, 1937","Emily Malbone Morgan, <em>Lay Leader and Contemplative</em>, 1937",Minor,Emily Malbone Morgan,Lay Leader and Contemplative,1937
February,26,Photini, The Samaritan Woman, c. 67,Photini, <em>The Samaritan Woman</em>, c. 67,Minor,Photini,The Samaritan Woman,c. 67
February,27,George Herbert, Priest and Poet, 1633,George Herbert, <em>Priest and Poet</em>, 1633,Minor,George Herbert,Priest and Poet,1633
February,28,Anna Julia Haywood Cooper, Educator, 1964,Anna Julia Haywood Cooper, <em>Educator</em>, 1964,Minor,Anna Julia Haywood Cooper,Educator,1964
March,1,David of Wales, Bishop, c. 544,David of Wales, <em>Bishop</em>, c. 544,Minor,David of Wales,Bishop,c. 544
March,2,Chad of Lichfield, Bishop, 672,Chad of Lichfield, <em>Bishop</em>, 672,Minor,Chad of Lichfield,Bishop,672
March,3,"John and Charles Wesley, Priests, 1791, 1788","John and Charles Wesley, <em>Priests</em>, 1791, 1788",Minor,"John and Charles Wesley",Priests,"1791, 1788"
March,7,Perpetua and Felicity, Martyrs, 202,Perpetua and Felicity, <em>Martyrs</em>, 202,Minor,Perpetua and Felicity,Martyrs,202
March,9,Gregory of Nyssa, Bishop and Theologian, c. 394,Gregory of Nyssa, <em>Bishop and Theologian</em>, c. 394,Minor,Gregory of Nyssa,Bishop and Theologian,c. 394
March,10,Harriet Ross Tubman, Social Reformer, 1913,Harriet Ross Tubman, <em>Social Reformer</em>, 1913,Minor,Harriet Ross Tubman,Social Reformer,1913
March,12,Gregory the Great, Bishop and Theologian, 604,Gregory the Great, <em>Bishop and Theologian</em>, 604,Minor,Gregory the Great,Bishop and Theologian,604
March,13,James Theodore Holly, Bishop, 1911,James Theodore Holly, <em>Bishop</em>, 1911,Minor,James Theodore Holly,Bishop,1911
March,15,"Vincent de Paul, Priest, and Louise de Marillac, Vowed Religious, Workers of Charity, 1660","Vincent de Paul, <em>Priest</em>, and Louise de Marillac, <em>Vowed Religious, Workers of Charity</em>, 1660",Minor,"Vincent de Paul, Louise de Marillac","Priest, Vowed Religious, Workers of Charity",1660
March,17,Patrick of Ireland, Bishop and Missionary, 461,Patrick of Ireland, <em>Bishop and Missionary</em>, 461,Minor,Patrick of Ireland,Bishop and Missionary,461
March,18,Cyril of Jerusalem, Bishop and Theologian, 386,Cyril of Jerusalem, <em>Bishop and Theologian</em>, 386,Minor,Cyril of Jerusalem,Bishop and Theologian,386
March,19,Saint Joseph,<strong>Saint Joseph</strong>,Major,Joseph,Saint,
March,20,Cuthbert, Bishop, 687,Cuthbert, <em>Bishop</em>, 687,Minor,Cuthbert,Bishop,687
March,21,Thomas Ken, Bishop, 1711,Thomas Ken, <em>Bishop</em>, 1711,Minor,Thomas Ken,Bishop,1711
March,22,James De Koven, Priest, 1879,James De Koven, <em>Priest</em>, 1879,Minor,James De Koven,Priest,1879
March,23,Gregory the Illuminator, Bishop and Missionary, c. 332,Gregory the Illuminator, <em>Bishop and Missionary</em>, c. 332,Minor,Gregory the Illuminator,Bishop and Missionary,c. 332
March,24,"Óscar Romero, Archbishop and Martyr, 1980, and the Martyrs of El Salvador","Óscar Romero, <em>Archbishop and Martyr</em>, 1980, and the Martyrs of El Salvador",Minor,"Óscar Romero, Martyrs of El Salvador",Archbishop and Martyr,1980
March,25,The Annunciation of Our Lord Jesus Christ to the Blessed Virgin Mary,<strong>The Annunciation of Our Lord Jesus Christ to the Blessed Virgin Mary</strong>,Major,Annunciation,Feast,
March,26,Harriet Monsell, Monastic, 1883,Harriet Monsell, <em>Monastic</em>, 1883,Minor,Harriet Monsell,Monastic,1883
March,27,Charles Henry Brent, Bishop, 1929,Charles Henry Brent, <em>Bishop</em>, 1929,Minor,Charles Henry Brent,Bishop,1929
March,28,James Solomon Russell, Priest, 1935,James Solomon Russell, <em>Priest</em>, 1935,Minor,James Solomon Russell,Priest,1935
March,29,John Keble, Priest and Poet, 1866,John Keble, <em>Priest and Poet</em>, 1866,Minor,John Keble,Priest and Poet,1866
March,30,Mary of Egypt, Monastic, c. 421,Mary of Egypt, <em>Monastic</em>, c. 421,Minor,Mary of Egypt,Monastic,c. 421
March,31,John Donne, Priest and Poet, 1631,John Donne, <em>Priest and Poet</em>, 1631,Minor,John Donne,Priest and Poet,1631
April,1,Frederick Denison Maurice, Priest, 1872,Frederick Denison Maurice, <em>Priest</em>, 1872,Minor,Frederick Denison Maurice,Priest,1872
April,2,James Lloyd Breck, Priest, 1876,James Lloyd Breck, <em>Priest</em>, 1876,Minor,James Lloyd Breck,Priest,1876
April,3,Richard of Chichester, Bishop, 1253,Richard of Chichester, <em>Bishop</em>, 1253,Minor,Richard of Chichester,Bishop,1253
April,4,Martin Luther King, Jr., Pastor and Martyr, 1968,Martin Luther King, Jr., <em>Pastor and Martyr</em>, 1968,Minor,Martin Luther King Jr.,Pastor and Martyr,1968
April,5,Harriet Starr Cannon, Monastic, 1896,Harriet Starr Cannon, <em>Monastic</em>, 1896,Minor,Harriet Starr Cannon,Monastic,1896
April,7,Tikhon, Bishop and Ecumenist, 1925,Tikhon, <em>Bishop and Ecumenist</em>, 1925,Minor,Tikhon,Bishop and Ecumenist,1925
April,8,William Augustus Muhlenberg, Priest, 1877,William Augustus Muhlenberg, <em>Priest</em>, 1877,Minor,William Augustus Muhlenberg,Priest,1877
April,9,Dietrich Bonhoeffer, Pastor and Theologian, 1945,Dietrich Bonhoeffer, <em>Pastor and Theologian</em>, 1945,Minor,Dietrich Bonhoeffer,Pastor and Theologian,1945
April,10,William Law, Priest, 1761,William Law, <em>Priest</em>, 1761,Minor,William Law,Priest,1761
April,11,George Augustus Selwyn, Bishop, 1878,George Augustus Selwyn, <em>Bishop</em>, 1878,Minor,George Augustus Selwyn,Bishop,1878
April,14,"Zenaida, Philonella, and Hermione, Unmercenary Physicians, c. 100, c. 117","Zenaida, Philonella, and Hermione, <em>Unmercenary Physicians</em>, c. 100, c. 117",Minor,"Zenaida, Philonella, and Hermione",Unmercenary Physicians,"c. 100, c. 117"
April,15,"Damien, Priest, 1889, and Marianne Cope, Monastic, 1918, of Hawai'i","Damien, <em>Priest</em>, 1889, and Marianne Cope, <em>Monastic</em>, 1918, of Hawai'i",Minor,"Damien, Marianne Cope","Priest, Monastic","1889, 1918"
April,16,"Peter Williams Cassey, Deacon, 1917, and Anna Besant Cassey, 1875","Peter Williams Cassey, <em>Deacon</em>, 1917, and Anna Besant Cassey, 1875",Minor,"Peter Williams Cassey, Anna Besant Cassey",Deacon,"1917, 1875"
April,17,Kateri Tekakwitha, Lay Contemplative, 1680,Kateri Tekakwitha, <em>Lay Contemplative</em>, 1680,Minor,Kateri Tekakwitha,Lay Contemplative,1680
April,18,Juana Inés de la Cruz, Monastic and Theologian, 1695,Juana Inés de la Cruz, <em>Monastic and Theologian</em>, 1695,Minor,Juana Inés de la Cruz,Monastic and Theologian,1695
April,19,Alphege, Archbishop of Canterbury and Martyr, 1012,Alphege, <em>Archbishop of Canterbury and Martyr</em>, 1012,Minor,Alphege,Archbishop of Canterbury and Martyr,1012
April,21,Anselm, Archbishop of Canterbury and Theologian, 1109,Anselm, <em>Archbishop of Canterbury and Theologian</em>, 1109,Minor,Anselm,Archbishop of Canterbury and Theologian,1109
April,22,Hadewijch of Brabant, Poet and Mystic, thirteenth century,Hadewijch of Brabant, <em>Poet and Mystic</em>, thirteenth century,Minor,Hadewijch of Brabant,Poet and Mystic,thirteenth century
April,23,Toyohiko Kagawa, Social Reformer, 1960,Toyohiko Kagawa, <em>Social Reformer</em>, 1960,Minor,Toyohiko Kagawa,Social Reformer,1960
April,25,Saint Mark the Evangelist,<strong>Saint Mark the Evangelist</strong>,Major,Mark,Evangelist,
April,27,Zita of Tuscany, Worker of Charity, 1271,Zita of Tuscany, <em>Worker of Charity</em>, 1271,Minor,Zita of Tuscany,Worker of Charity,1271
April,29,Catherine of Siena, Mystic and Prophetic Witness, 1380,Catherine of Siena, <em>Mystic and Prophetic Witness</em>, 1380,Minor,Catherine of Siena,Mystic and Prophetic Witness,1380
May,1,The Apostles Saint Philip and Saint James,<strong>The Apostles Saint Philip and Saint James</strong>,Major,"Philip, James",Apostles,
May,2,Athanasius of Alexandria, Bishop and Theologian, 373,Athanasius of Alexandria, <em>Bishop and Theologian</em>, 373,Minor,Athanasius of Alexandria,Bishop and Theologian,373
May,3,Elisabeth Cruciger, Poet and Hymnographer, 1535,Elisabeth Cruciger, <em>Poet and Hymnographer</em>, 1535,Minor,Elisabeth Cruciger,Poet and Hymnographer,1535
May,4,Monica, Mother of Augustine of Hippo, 387,Monica, <em>Mother of Augustine of Hippo</em>, 387,Minor,Monica,Mother of Augustine of Hippo,387
May,5,Martyrs of the Reformation Era,Martyrs of the Reformation Era,Minor,Martyrs of the Reformation Era,,
May,6,[George of Lydda, Soldier and Martyr, c. 304],[George of Lydda, <em>Soldier and Martyr</em>, c. 304],Trial,George of Lydda,Soldier and Martyr,c. 304
May,8,Julian of Norwich, Mystic and Theologian, c. 1417,Julian of Norwich, <em>Mystic and Theologian</em>, c. 1417,Minor,Julian of Norwich,Mystic and Theologian,c. 1417
May,9,Gregory of Nazianzus, Bishop and Theologian, 389,Gregory of Nazianzus, <em>Bishop and Theologian</em>, 389,Minor,Gregory of Nazianzus,Bishop and Theologian,389
May,11,Johann Arndt and Jacob Boehme, Mystics, 1621 and 1624,Johann Arndt and Jacob Boehme, <em>Mystics</em>, 1621 and 1624,Minor,Johann Arndt and Jacob Boehme,Mystics,"1621, 1624"
May,13,Frances Perkins, Social Reformer, 1965,Frances Perkins, <em>Social Reformer</em>, 1965,Minor,Frances Perkins,Social Reformer,1965
May,15,Pachomius of Tabenissi, Monastic, 348,Pachomius of Tabenissi, <em>Monastic</em>, 348,Minor,Pachomius of Tabenissi,Monastic,348
May,17,Thurgood Marshall, Public Servant, 1993,Thurgood Marshall, <em>Public Servant</em>, 1993,Minor,Thurgood Marshall,Public Servant,1993
May,19,Dunstan, Archbishop of Canterbury, 988,Dunstan, <em>Archbishop of Canterbury</em>, 988,Minor,Dunstan,Archbishop of Canterbury,988
May,20,Alcuin of York, Deacon, 804,Alcuin of York, <em>Deacon</em>, 804,Minor,Alcuin of York,Deacon,804
May,21,Lydia of Thyatira, Coworker of the Apostle Paul,Lydia of Thyatira, <em>Coworker of the Apostle Paul</em>,Minor,Lydia of Thyatira,Coworker of the Apostle Paul,
May,22,"Helena of Constantinople, Protector of the Holy Places, 330","Helena of Constantinople, <em>Protector of the Holy Places</em>, 330",Minor,Helena of Constantinople,Protector of the Holy Places,330
May,24,Jackson Kemper, Bishop and Missionary, 1870,Jackson Kemper, <em>Bishop and Missionary</em>, 1870,Minor,Jackson Kemper,Bishop and Missionary,1870
May,25,Bede, Priest and Historian, 735,Bede, <em>Priest and Historian</em>, 735,Minor,Bede,Priest and Historian,735
May,26,Augustine, First Archbishop of Canterbury, 605,Augustine, <em>First Archbishop of Canterbury</em>, 605,Minor,Augustine,First Archbishop of Canterbury,605
May,28,Mechthild of Magdeburg, Mystic, c. 1282,Mechthild of Magdeburg, <em>Mystic</em>, c. 1282,Minor,Mechthild of Magdeburg,Mystic,c. 1282
May,31,The Visitation of the Blessed Virgin Mary,<strong>The Visitation of the Blessed Virgin Mary</strong>,Major,Visitation,Feast,
June,1,Justin, Martyr, 167,Justin, <em>Martyr</em>, 167,Minor,Justin,Martyr,167
June,2,"Blandina and Her Companions, the Martyrs of Lyons, 177","Blandina and Her Companions, <em>the Martyrs of Lyons</em>, 177",Minor,Blandina and Her Companions,the Martyrs of Lyons,177
June,3,The Martyrs of Uganda, 1886,The Martyrs of Uganda, 1886,Minor,Martyrs of Uganda,,1886
June,4,John XXIII (Angelo Giuseppe Roncalli), Bishop, 1963,John XXIII (Angelo Giuseppe Roncalli), <em>Bishop</em>, 1963,Minor,John XXIII (Angelo Giuseppe Roncalli),Bishop,1963
June,5,Boniface, Bishop and Missionary, 754,Boniface, <em>Bishop and Missionary</em>, 754,Minor,Boniface,Bishop and Missionary,754
June,8,Melania the Elder, Monastic, 410,Melania the Elder, <em>Monastic</em>, 410,Minor,Melania the Elder,Monastic,410
June,9,Columba of Iona, Monastic, 597,Columba of Iona, <em>Monastic</em>, 597,Minor,Columba of Iona,Monastic,597
June,10,Ephrem of Nisibis, Deacon and Poet, 373,Ephrem of Nisibis, <em>Deacon and Poet</em>, 373,Minor,Ephrem of Nisibis,Deacon and Poet,373
June,11,Saint Barnabas the Apostle,<strong>Saint Barnabas the Apostle</strong>,Major,Barnabas,Apostle,
June,12,Enmegahbowh, Priest and Missionary, 1902,Enmegahbowh, <em>Priest and Missionary</em>, 1902,Minor,Enmegahbowh,Priest and Missionary,1902
June,13,The First Book of Common Prayer, 1549,The First Book of Common Prayer, 1549,Minor,First Book of Common Prayer,,1549
June,14,Basil of Caesarea, Bishop and Theologian, 379,Basil of Caesarea, <em>Bishop and Theologian</em>, 379,Minor,Basil of Caesarea,Bishop and Theologian,379
June,15,Evelyn Underhill, Mystic and Writer, 1941,Evelyn Underhill, <em>Mystic and Writer</em>, 1941,Minor,Evelyn Underhill,Mystic and Writer,1941
June,16,Joseph Butler, Bishop and Theologian, 1752,Joseph Butler, <em>Bishop and Theologian</em>, 1752,Minor,Joseph Butler,Bishop and Theologian,1752
June,17,Marina the Monk, Monastic, fifth century,Marina the Monk, <em>Monastic</em>, fifth century,Minor,Marina the Monk,Monastic,fifth century
June,18,Bernard Mizeki, Martyr, 1896,Bernard Mizeki, <em>Martyr</em>, 1896,Minor,Bernard Mizeki,Martyr,1896
June,19,Adelaide Teague Case, Educator, 1948,Adelaide Teague Case, <em>Educator</em>, 1948,Minor,Adelaide Teague Case,Educator,1948
June,22,Alban, Martyr, c. 304,Alban, <em>Martyr</em>, c. 304,Minor,Alban,Martyr,c. 304
June,24,The Nativity of Saint John the Baptist,<strong>The Nativity of Saint John the Baptist</strong>,Major,John the Baptist,Nativity,
June,26,Isabel Florence Hapgood, Ecumenist, 1928,Isabel Florence Hapgood, <em>Ecumenist</em>, 1928,Minor,Isabel Florence Hapgood,Ecumenist,1928
June,28,Irenaeus of Lyons, Bishop and Theologian, c. 202,Irenaeus of Lyons, <em>Bishop and Theologian</em>, c. 202,Minor,Irenaeus of Lyons,Bishop and Theologian,c. 202
June,29,The Apostles Saint Peter and Saint Paul,<strong>The Apostles Saint Peter and Saint Paul</strong>,Major,"Peter, Paul",Apostles,
July,1,Pauli Murray, Priest, 1985,Pauli Murray, <em>Priest</em>, 1985,Minor,Pauli Murray,Priest,1985
July,2,Moses the Black, Monastic and Martyr, c. 400,Moses the Black, <em>Monastic and Martyr</em>, c. 400,Minor,Moses the Black,Monastic and Martyr,c. 400
July,4,Independence Day (United States),Independence Day (United States),Minor,Independence Day,,
July,6,Eva Lee Matthews, Monastic, 1928,Eva Lee Matthews, <em>Monastic</em>, 1928,Minor,Eva Lee Matthews,Monastic,1928
July,8,Priscilla and Aquila, Coworkers of the Apostle Paul,Priscilla and Aquila, <em>Coworkers of the Apostle Paul</em>,Minor,Priscilla and Aquila,Coworkers of the Apostle Paul,
July,11,Benedict of Nursia, Monastic, c. 543,Benedict of Nursia, <em>Monastic</em>, c. 543,Minor,Benedict of Nursia,Monastic,c. 543
July,14,Argula von Grumbach, Scholar and Church Reformer, c. 1554,Argula von Grumbach, <em>Scholar and Church Reformer</em>, c. 1554,Minor,Argula von Grumbach,Scholar and Church Reformer,c. 1554
July,17,William White, Bishop, 1836,William White, <em>Bishop</em>, 1836,Minor,William White,Bishop,1836
July,19,Macrina of Caesarea, Monastic and Teacher, 379,Macrina of Caesarea, <em>Monastic and Teacher</em>, 379,Minor,Macrina of Caesarea,Monastic and Teacher,379
July,20,"Elizabeth Cady Stanton, Amelia Bloomer, and Sojourner Truth, Social Reformers, 1902, 1894, and 1883","Elizabeth Cady Stanton, Amelia Bloomer, and Sojourner Truth, <em>Social Reformers</em>, 1902, 1894, and 1883",Minor,"Elizabeth Cady Stanton, Amelia Bloomer, Sojourner Truth",Social Reformers,"1902, 1894, 1883"
July,21,Maria Skobtsova, Monastic and Martyr, 1945,Maria Skobtsova, <em>Monastic and Martyr</em>, 1945,Minor,Maria Skobtsova,Monastic and Martyr,1945
July,22,Saint Mary Magdalene,<strong>Saint Mary Magdalene</strong>,Major,Mary Magdalene,Saint,
July,23,John Cassian, Monastic and Theologian, 435,John Cassian, <em>Monastic and Theologian</em>, 435,Minor,John Cassian,Monastic and Theologian,435
July,24,Thomas à Kempis, Priest and Mystic, 1471,Thomas à Kempis, <em>Priest and Mystic</em>, 1471,Minor,Thomas à Kempis,Priest and Mystic,1471
July,25,Saint James the Apostle,<strong>Saint James the Apostle</strong>,Major,James,Apostle,
July,26,The Parents of the Blessed Virgin Mary,The Parents of the Blessed Virgin Mary,Minor,Parents of the Blessed Virgin Mary,,
July,27,William Reed Huntington, Priest, 1909,William Reed Huntington, <em>Priest</em>, 1909,Minor,William Reed Huntington,Priest,1909
July,28,"Johann Sebastian Bach, Composer, 1750","Johann Sebastian Bach, <em>Composer</em>, 1750",Minor,Johann Sebastian Bach,Composer,1750
July,29,[The Ordination of the Philadelphia Eleven],<em>[The Ordination of the Philadelphia Eleven]</em>,Trial,Philadelphia Eleven,Ordination,
July,29,Mary and Martha of Bethany,Mary and Martha of Bethany,Minor,Mary and Martha of Bethany,,
July,30,William Wilberforce, Social Reformer, 1833,William Wilberforce, <em>Social Reformer</em>, 1833,Minor,William Wilberforce,Social Reformer,1833
July,31,Ignatius of Loyola, Priest and Spiritual Writer, 1556,Ignatius of Loyola, <em>Priest and Spiritual Writer</em>, 1556,Minor,Ignatius of Loyola,Priest and Spiritual Writer,1556
August,1,Joseph of Arimathea,Joseph of Arimathea,Minor,Joseph of Arimathea,,
August,3,"Joanna, Mary, and Salome, Myrrh-Bearing Women","Joanna, Mary, and Salome, <em>Myrrh-Bearing Women</em>",Minor,"Joanna, Mary, and Salome",Myrrh-Bearing Women,
August,6,The Transfiguration of Our Lord Jesus Christ,<strong>The Transfiguration of Our Lord Jesus Christ</strong>,Major,Transfiguration,Feast,
August,7,John Mason Neale, Priest and Hymnographer, 1866,John Mason Neale, <em>Priest and Hymnographer</em>, 1866,Minor,John Mason Neale,Priest and Hymnographer,1866
August,8,Dominic, Priest and Friar, 1221,Dominic, <em>Priest and Friar</em>, 1221,Minor,Dominic,Priest and Friar,1221
August,9,"Edith Stein (Teresa Benedicta of the Cross), Philosopher, Monastic, and Martyr, 1942","Edith Stein (Teresa Benedicta of the Cross), <em>Philosopher, Monastic, and Martyr</em>, 1942",Minor,Edith Stein (Teresa Benedicta of the Cross),"Philosopher, Monastic, and Martyr",1942
August,10,Laurence of Rome, Deacon and Martyr, 258,Laurence of Rome, <em>Deacon and Martyr</em>, 258,Minor,Laurence of Rome,Deacon and Martyr,258
August,11,Clare of Assisi, Monastic, 1253,Clare of Assisi, <em>Monastic</em>, 1253,Minor,Clare of Assisi,Monastic,1253
August,12,Florence Nightingale, Nurse, 1910,Florence Nightingale, <em>Nurse</em>, 1910,Minor,Florence Nightingale,Nurse,1910
August,13,Jeremy Taylor, Bishop and Theologian, 1667,Jeremy Taylor, <em>Bishop and Theologian</em>, 1667,Minor,Jeremy Taylor,Bishop and Theologian,1667
August,14,Jonathan Myrick Daniels, Martyr, 1965,Jonathan Myrick Daniels, <em>Martyr</em>, 1965,Minor,Jonathan Myrick Daniels,Martyr,1965
August,15,Saint Mary the Virgin, Mother of Our Lord Jesus Christ,<strong>Saint Mary the Virgin, Mother of Our Lord Jesus Christ</strong>,Major,Mary the Virgin,Mother of Our Lord Jesus Christ,
August,20,Bernard of Clairvaux, Monastic and Theologian, 1153,Bernard of Clairvaux, <em>Monastic and Theologian</em>, 1153,Minor,Bernard of Clairvaux,Monastic and Theologian,1153
August,24,Saint Bartholomew the Apostle,<strong>Saint Bartholomew the Apostle</strong>,Major,Bartholomew,Apostle,
August,25,Louis, King, 1270,Louis, <em>King</em>, 1270,Minor,Louis,King,1270
August,26,Simeon Bachos the Ethiopian Eunuch,Simeon Bachos the Ethiopian Eunuch,Minor,Simeon Bachos,the Ethiopian Eunuch,
